JID,Year,Injury,Drunk,Medical_Fee,Care_Fee,Work_Loss,Fault_Ratio,Verdict_Total,Mental_Damage,Injury_Level,Court_CDEV,Court_CHDV,Court_CHEV,Court_CLEV,Court_CPEV,Court_CSEV,Court_CTDM,Court_CTDV,Court_CYDV,Court_CYEV,Court_FSEV,Court_FYEV,Court_GSEV,Court_HLDV,Court_HLEV,Court_HLHM,Court_HLHV,Court_HUEV,Court_ILDV,Court_ILEV,Court_KLDV,Court_KMDM,Court_KMEV,Court_KSDM,Court_KSDV,Court_KSEV,Court_KSHM,Court_KSHV,Court_LTEV,Court_MKEM,Court_MKEV,Court_MLDV,Court_NHEV,Court_NTDV,Court_NTEV,Court_OLEV,Court_PCDV,Court_PCEV,Court_PDEV,Court_PHDM,Court_PHDV,Court_PKEV,Court_PTDV,Court_PTEV,Court_SCDV,Court_SDEV,Court_SJEV,Court_SLDV,Court_SLEV,Court_SSEV,Court_STEV,Court_SYEV,Court_TCDV,Court_TCEV,Court_TCHV,Court_TLEV,Court_TNDV,Court_TNEV,Court_TNHV,Court_TPDV,Court_TPEV,Court_TPHV,Court_TTEV,Court_TYDV,Court_TYEV,Court_ULDV,Medical_Fee_log,Care_Fee_log,Work_Loss_log,Mental_Damage_log
"CDEV,114,橋簡,866,20251106,1",114,傷害,0,0,0,0,0.0,305065,40000,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,10.596659732783579
"CDEV,114,橋簡,867,20251119,1",114,傷害,0,44150,0,109600,0.0,257150,100000,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.695370855832223,0.0,11.604601777542019,11.51293546492023
"CDEV,114,橋簡,919,20251128,1",114,傷害,0,290,0,0,0.0,190290,30000,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.673323267171493,0.0,0.0,10.308985993422082
"SDEV,114,沙簡,204,20251107,1",114,重傷,0,110874,2600,0,0.0,290197,1200000,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.61615871961188,7.8636512654486515,0.0,13.997832948091215
"SDEV,114,沙簡,36,20251104,1",114,傷害,0,247026,2500,0,0.0,883702,500000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.417252921376912,7.824445930877619,0.0,13.122365377402328
"SDEV,114,沙簡,568,20251113,1",114,傷害,0,0,0,0,0.0,111000,49000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,10.799595985047786
"SDEV,114,沙簡,96,20251118,1",114,傷害,0,39089,2000,0,0.0,1061844,1000000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.573621958787001,7.601402334583733,0.0,13.815511557963774
"CCEV,114,潮簡,491,20251113,1",114,傷害,0,0,438400,290247,0.0,1123608,500000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,12.99088929563524,12.578491008924855,13.122365377402328
"CCEV,114,潮簡,507,20251120,1",114,傷害,0,0,0,0,0.0,159603,300000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,12.611541086966115
"CCEV,114,潮簡,529,20251103,1",114,傷害,0,322048,226600,0,0.0,666110,2000000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.682458986862313,12.330946040628971,0.0,14.508658238524095
"CCEV,114,潮簡,665,20251117,1",114,傷害,0,79832,264000,137350,0.0,561047,262900,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.287692231790937,12.483708170000067,11.830294972166737,12.479532814438391
"CPEV,113,竹北簡,598,20251107,1",113,重傷,0,0,232800,139552,0.0,1286673,600000,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,12.35793929036284,11.846199736404483,13.304686600863562
"CPEV,114,竹北簡,166,20251119,1",114,傷害,0,1350642,315900,454860,0.0,0,3080430,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.116091333317831,12.663184152343888,13.027747156754641,14.940580080224695
"CPEV,114,竹北簡,301,20251103,1",114,傷害,0,89115,20000,60000,0.0,632539,600000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.397694170850414,9.90353755128617,11.002116507732017,13.304686600863562
"CPEV,114,竹北簡,471,20251128,1",114,傷害,0,2751,18877,0,0.0,817078,600000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.920083199053234,9.84575250188489,0.0,13.304686600863562
"CPEV,114,竹北簡,502,20251128,1",114,傷害,0,1384,0,0,0.0,162951,10000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.233455418621439,0.0,0.0,9.210440366976517
"CPEV,114,竹北簡,610,20251126,1",114,傷害,0,59959,169400,0,0.0,238656,300000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.001432952216534,12.04002396437039,0.0,12.611541086966115
"CPEV,114,竹東簡,228,20251128,1",114,傷害,0,48000,102600,26554,0.0,549512,500000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.778977123006351,11.538602958260002,10.1869733328565,13.122365377402328
